base_name,updated,owner,table_count,total_fields,total_views,total_forms,dashboard_count,dashboard_blocks,workflow_count,md,csv,json
CP135-DOE （学员&教练）,2026-05-28T21:21:45+08:00,Dcode Sdn Bhd,32,968,153,0,13,55,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP135-DOE_（学员&教练）_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP135-DOE_（学员&教练）_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP135-DOE_（学员&教练）_deep_audit_2026-05-29.json
CP136-DOE （学员&教练）,2026-05-28T21:17:54+08:00,Dcode Sdn Bhd,36,897,109,0,13,51,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP136-DOE_（学员&教练）_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP136-DOE_（学员&教练）_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP136-DOE_（学员&教练）_deep_audit_2026-05-29.json
CP137-DOE 【学员&教练】,2026-05-28T20:49:29+08:00,Dcode Sdn Bhd,34,944,200,0,13,57,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP137-DOE_【学员&教练】_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP137-DOE_【学员&教练】_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP137-DOE_【学员&教练】_deep_audit_2026-05-29.json
客服 Backlog,2026-05-28T18:38:36+08:00,AGA TECH SUPPORT,5,88,9,0,2,11,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/客服_Backlog_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/客服_Backlog_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/客服_Backlog_deep_audit_2026-05-29.json
D.136 Class Bible. (admin dcode),2026-05-28T17:44:34+08:00,Dcode Sdn Bhd,26,2409,158,0,8,23,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/D.136_Class_Bible._(admin_dcode)_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/D.136_Class_Bible._(admin_dcode)_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/D.136_Class_Bible._(admin_dcode)_deep_audit_2026-05-29.json
D.137 Class Bible. (admin dcode),2026-05-28T16:02:09+08:00,Dcode Sdn Bhd,28,2325,223,0,7,20,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/D.137_Class_Bible._(admin_dcode)_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/D.137_Class_Bible._(admin_dcode)_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/D.137_Class_Bible._(admin_dcode)_deep_audit_2026-05-29.json
135 Class Bible. (admin dcode),2026-05-28T12:53:02+08:00,Dcode Sdn Bhd,33,2818,119,0,8,20,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/135_Class_Bible._(admin_dcode)_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/135_Class_Bible._(admin_dcode)_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/135_Class_Bible._(admin_dcode)_deep_audit_2026-05-29.json
旧的版本CP137-DOE （学员&教练）,2026-05-28T12:17:08+08:00,Dcode Sdn Bhd,21,582,84,0,9,37,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/旧的版本CP137-DOE_（学员&教练）_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/旧的版本CP137-DOE_（学员&教练）_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/旧的版本CP137-DOE_（学员&教练）_deep_audit_2026-05-29.json
CP133-DOE （学员&教练）,2026-05-25T12:10:03+08:00,Dcode Sdn Bhd,24,655,118,0,15,59,0,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP133-DOE_（学员&教练）_deep_audit_2026-05-29.md,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP133-DOE_（学员&教练）_tables_2026-05-29.csv,/Users/xiaoying715/Documents/Dcode/dcode_active_bases_deep_audits_2026-05-29/CP133-DOE_（学员&教练）_deep_audit_2026-05-29.json
